zone,pheno_year,SOS,EOS,LOS,peak_doy,peak_ndvi,baseline_ndvi,amplitude,integrated_NDVI,pre_sos_rain_mm,season_rain_mm,mean_LST_Day,mean_LST_Night,mean_DTR,mean_ET,mean_ET_stress,annual_GPP,annual_PsnNet,mean_NDWI,mean_NDMI,mean_EVI
Wet,2012,55,365,310,231,0.8981669325450258,0.653219809908373,0.24494712263665275,267.5728362375076,836.1543025983558,5674.213861231658,32.72247740093832,21.893548146815125,10.635797850937076,19.38739726027397,0.5165111475881551,13171.949999999999,2970.5499999999993,-0.669992610811698,0.26429002226712284,0.4440436559116087
Wet,2013,61,362,301,208,0.880904313003142,0.6278084954744857,0.2530958175286563,279.9869583222172,579.7798183613088,12235.268861057606,30.681504129361215,21.651294097338866,9.109825961698979,24.082465753424657,0.599257599820786,16955.75,7468.7249999999985,-0.6986858578285754,0.2549267384654374,0.46333180741253305
Wet,2014,61,344,283,232,0.8735595174503934,0.6992671467973555,0.17429237065303793,281.87188165537617,305.15700821421876,5810.371586782248,31.313321883317826,21.407143225479267,9.899640763177736,19.796575342465754,0.4865564402643704,13208.1,1224.5500000000006,-0.7023463101254582,0.2859684754454177,0.4472670836601639
Wet,2015,63,361,298,232,0.877571899052586,0.658638421780869,0.21893347727171708,281.36340612914944,973.7062561794858,9823.732030420426,31.619440789063102,21.546377014590703,9.882659836679771,25.377671232876718,0.6262767066363111,16489.800000000003,5842.1,-0.6992701487682619,0.2699219654915593,0.4690738045194057
Wet,2016,69,338,269,194,0.8703796220655077,0.6804310640908204,0.18994855797468724,277.2404227157232,493.9357373139817,13251.164951901372,31.912801556417257,21.760998781690645,10.167109998073517,21.53561643835617,0.5319784841203626,14232.3,3754.3,-0.6920626019932937,0.2647290061581369,0.4405976623498256
Wet,2017,53,354,301,235,0.8784311945321216,0.6460987363630709,0.23233245816905068,281.02250911430906,689.9635794023682,7124.904949185324,31.00058111117463,21.613656264178942,9.432857889991613,22.512328767123286,0.5444924400549227,14151.174999999997,3355.9500000000007,-0.7008407888317999,0.2860138519959531,0.47896385188215207
Wet,2018,48,362,314,219,0.8743442946478973,0.646438206349435,0.22790608829846226,279.6744164492562,1339.8872187659863,12045.221353629677,31.366094262619818,21.10828831789856,10.310257584709849,24.751369863013704,0.626429917509493,15421.150000000001,4715.1500000000015,-0.6985895942630781,0.2834710834118827,0.4765334170263553
Wet,2019,53,365,312,224,0.8856361464583337,0.6818038585210866,0.20383228793724706,291.5908665888922,886.3376806313476,10806.331326937598,29.82611027323912,21.370416663995933,8.545977520433313,24.891575342465753,0.6063910150020064,15267.350000000004,5740.225,-0.7229777183962478,0.29115343357106416,0.4709704482112555
Wet,2020,1,365,364,183,0.8721022351142176,0.7199706744868035,0.15213156062741406,295.91882189967896,1428.3552834229608,12520.602864651943,29.55397412794353,21.034386123292975,8.643752118353412,27.38849315068493,0.6845038634632535,17824.95,7559.250000000001,-0.7346122747599142,0.29024581747115613,0.502782268780025
Wet,2021,61,365,304,216,0.8696056690658585,0.6352706133517974,0.2343350557140611,281.5265733344744,6.115816345926123,22644.532802710324,29.40062273599881,21.13133388322872,8.604211707894272,26.64260273972603,0.678233453666341,17363.6,6077.5999999999985,-0.7098692142591022,0.2539437214290882,0.47648943546398187
Wet,2022,104,365,261,224,0.8846893354280926,0.7941097000810591,0.0905796353470335,305.52489872872354,788.0202323646554,18117.860579202308,30.703425714452592,23.238063392227435,6.104939367168995,28.15945205479452,0.6554994304219968,16862.800000000003,10923.6,-0.744245866674263,0.32151451252012836,0.5226091640659457
Wet,2023,70,365,295,320,0.826724561374303,0.6942936783732581,0.13243088300104489,277.98406267102496,1167.2694419681056,12620.817722262418,30.648021796628527,23.224561327701597,8.231445713658928,17.170958904109593,0.4412693077594165,11306.45,-407.3000000000002,-0.6966695486422407,0.2681495484772504,0.4743863075967941
Wet,2024,84,365,281,266,0.9034844492732863,0.7039265236866019,0.1995579255866844,293.57399613412315,1439.0430456406584,11883.101739409489,27.662110286145094,21.11665763817746,6.399995737238445,24.355342465753427,0.6396749083864296,16198.999999999996,5455.800000000002,-0.7219087237773792,0.30458868309899356,0.5058070186627495
